epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.0368,1.91528,5.3062,1.57594,0.00025,0.0407,0.00021,9e-05,1.83991,5.16089,1.86399,0.00045009,0.00015003,0.00045009,0.00015003,0.00045009,0.00015003,0.00045009,0.00015003
2,87.3787,1.79788,5.16501,1.49511,0.00065,0.11047,0.00121,0.00039,1.74688,5.00133,1.68848,0.000940783,0.000313594,0.000940783,0.000313594,0.000940783,0.000313594,0.000940783,0.000313594
3,129.761,1.61642,4.76303,1.30539,0.00141,0.24419,0.01473,0.00797,1.58666,4.8199,1.46214,0.00142157,0.000473858,0.00142157,0.000473858,0.00142157,0.000473858,0.00142157,0.000473858
4,171.839,1.50219,4.52834,1.22074,0.0022,0.38953,0.07929,0.04336,1.41383,4.48129,1.23837,0.00189246,0.000630821,0.00189246,0.000630821,0.00189246,0.000630821,0.00189246,0.000630821
5,213.996,1.40759,4.26689,1.10936,0.00239,0.4186,0.32184,0.18326,1.36082,4.28098,1.10727,0.00235345,0.000784484,0.00235345,0.000784484,0.00235345,0.000784484,0.00235345,0.000784484
6,256.829,1.43464,3.89598,1.1095,0.00275,0.48837,0.43396,0.26311,1.29498,4.00928,1.0414,0.00280454,0.000934845,0.00280454,0.000934845,0.00280454,0.000934845,0.00280454,0.000934845
7,302.051,1.41329,3.81671,1.10194,0.99009,0.28744,0.54161,0.34122,1.33191,3.64695,1.03914,0.00324572,0.00108191,0.00324572,0.00108191,0.00324572,0.00108191,0.00324572,0.00108191
8,346.864,1.36936,2.76854,1.03283,0.99346,0.43839,0.72649,0.4479,1.35735,3.27061,1.03878,0.003677,0.00122567,0.003677,0.00122567,0.003677,0.00122567,0.003677,0.00122567
9,391.987,1.26565,2.2953,1.02186,0.97154,0.52374,0.85641,0.50982,1.35473,2.76014,1.02854,0.00409838,0.00136613,0.00409838,0.00136613,0.00409838,0.00136613,0.00409838,0.00136613
10,436.651,1.30575,2.29681,1.08783,0.91143,0.73177,0.91592,0.52595,1.38089,2.47571,1.03236,0.00450986,0.00150329,0.00450986,0.00150329,0.00450986,0.00150329,0.00450986,0.00150329
11,481.249,1.23105,1.97591,1.01938,0.85911,0.78349,0.93019,0.53083,1.37865,2.46914,1.04137,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,526.276,1.21594,1.98503,1.01067,0.92307,0.90957,0.95406,0.56451,1.32575,2.15097,1.01159,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,573.07,1.22206,1.89541,1.01849,0.92711,0.92442,0.9568,0.54519,1.34536,2.01409,1.01177,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
